kepid,pl_name,Score_Detection,Score_Habitability,Score_Type,Score_Radio,Priority__default,Priority__comms_heavy
7742408.0,Kepler-1697 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7747425.0,Kepler-341 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7749773.0,Kepler-1882 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7762723.0,Kepler-1867 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7802719.0,Kepler-1157 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5450893.0,Kepler-1890 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5445681.0,Kepler-1417 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7826620.0,Kepler-1579 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5440317.0,Kepler-1438 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7509886.0,Kepler-211 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5617854.0,Kepler-901 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7457296.0,Kepler-1145 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7455981.0,Kepler-1425 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7102227.0,Kepler-290 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7107802.0,Kepler-1231 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7120108.0,Kepler-1825 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7133294.0,Kepler-1607 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7134976.0,Kepler-246 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7175184.0,Kepler-144 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7211221.0,Kepler-831 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7216284.0,Kepler-1420 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7219825.0,Kepler-123 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5706966.0,Kepler-333 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7220429.0,Kepler-931 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7259298.0,Kepler-1278 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7269493.0,Kepler-1027 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7287995.0,Kepler-81 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5689351.0,Kepler-169 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7295235.0,Kepler-743 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5688790.0,Kepler-1439 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5688683.0,Kepler-1939 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7304449.0,Kepler-1650 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7350067.0,Kepler-1646 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5652893.0,Kepler-1347 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5644412.0,Kepler-1565 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7419318.0,Kepler-137 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7427764.0,Kepler-1595 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7455287.0,Kepler-54 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9216775.0,Kepler-1612 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9086251.0,Kepler-1833 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3632089.0,Kepler-1464 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11361646.0,Kepler-524 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10975146.0,Kepler-808 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10978763.0,Kepler-339 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10984090.0,Kepler-466 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11014932.0,Kepler-299 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11019987.0,Kepler-1421 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11030475.0,Kepler-1813 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3342794.0,Kepler-376 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
