kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
10933561,K00291.02,0.015,1.0,0.00012,0.0091,0.0049,6.2e-05,0.00017,0.00011,0.013,5744.0,1.0,1.0,1.0,0.0,8.646e-05,0.014462000000000001,0.3366093080078388,0,0.6606315896878756
11075737,K00292.01,0.00023,1.0,1.8e-16,1.5999999999999999e-16,0.00023,6.8e-07,2e-06,2.6e-08,0.014,5786.0,0.73,1.0,0.73,0.27,2.042e-06,0.00023270600000034,0.421751508722438,0,0.6606315896878756
7663691,K00891.01,7.2e-08,1.0,1.1e-11,9.8e-10,7.1e-08,2.4e-15,3.2000000000000003e-19,3.9e-10,0.032,5856.0,1.0,1.0,1.0,0.0,1.503e-06,7.238100240032001e-08,0.33167498235084086,0,0.6606315896878756
7678434,K00892.01,1.4e-05,1.0,1.9e-10,1.7e-09,1.4e-05,2.8e-10,4.4e-17,1.7e-10,0.033,5111.0,1.0,1.0,1.0,0.0,4.072e-06,1.4002340000043999e-05,0.33167956470322474,0,0.6606315896878756
7678434,K00892.02,0.018,1.0,1.3e-05,0.00034,0.0068,0.00038,0.0034,0.0069,0.018,5111.0,1.0,0.44,1.0,0.0,5.991e-05,0.017833,0.3375961779012806,0,0.6606315896878756
7685981,K00893.01,0.00094,1.0,2.9999999999999996e-43,5.999999999999999e-45,3.7999999999999996e-14,3.2e-13,1.6e-14,1.7e-07,0.025,5478.0,1.0,1.0,1.0,2.8000000000000002e-28,1.195e-05,1.70000374e-07,0.3319841777739086,0,0.6606315896878756
7708215,K00894.01,1.0,1.0,1.7000000000000002e-17,2.3e-21,1.0,4.9e-06,3.1e-05,0.0037,0.046,5685.0,0.0,1.0,0.0,0.0,0.0,1.0037359,0.6635189135588817,1,0.6606315896878756
7767559,K00895.01,2.8e-14,1.0,2.6e-25,9.1e-78,2.7999999999999997e-14,2.5e-21,4.3e-45,3.1000000000000002e-27,0.103,5413.0,1.0,1.0,1.0,0.0,1.233e-06,2.8000002500263095e-14,0.3316749585406394,0,0.6606315896878756
7825899,K00896.01,7.8e-05,1.0,3.3e-07,2e-08,7.8e-05,2e-11,8.2e-20,3.7e-09,0.045,5170.0,1.0,1.0,1.0,1e-71,9.044e-06,7.835372000000008e-05,0.3317007335163992,0,0.6606315896878756
7825899,K00896.02,5.3e-05,1.0,6.9e-10,1.5e-17,4.3e-05,2.1e-09,1e-05,6.8e-09,0.032,5170.0,1.0,1.0,1.0,3.1e-73,1.665e-05,5.3009590000015e-05,0.33169239639677506,0,0.6606315896878756
